year,sport,gender,class,champ,school,score
2014,Tennis,Girls,NULL,Miranda Deng,Thomas S. Wooton,"6-4, 4-6, 7-5"
2015,Tennis,Girls,NULL,Miranda Deng,Thomas S. Wooton,"6-2, 6-3"
2016,Tennis,Girls,NULL,Miranda Deng,Thomas S. Wooton,"6-0, 6-3"
2017,Tennis,Girls,NULL,Ayana Akli,Wheaton,"6-2, 6-0"
2018,Tennis,Girls,NULL,Ayana Akli,Wheaton,"6-1, 6-0"
2019,Tennis,Girls,1A,Meadow Santoriello,Patterson Mill,"6-0, 6-0"
2019,Tennis,Girls,2A,Rani Jones,Oakdale,"6-1, 6-0"
2019,Tennis,Girls,3A,Sania Suchinsky,Rockville,"6-0, 6-1"
2019,Tennis,Girls,4A,Ayana Akli,Wheaton,"6-1, 6-4"
2021,Tennis,Girls,1A,Elizabeth Nabutovsky,Pikesville,"6-1, 3-6, 1-0[6]"
2021,Tennis,Girls,2A,Ana Castro,Kent Island,Default
2021,Tennis,Girls,3A,Trinetra Vijayakumar,Mount Hebron,"6-1, 6-0"
2021,Tennis,Girls,4A,Helen Sarikulaya,Thomas S. Wooton,"6-0, 6-2"
2022,Tennis,Girls,1A,Marli McDorman,Pocomoke,"5-7, 6-4, 1-0[8]"
2022,Tennis,Girls,2A,Ruhika Bhat,Poolesville,"6-2, 6-1"
2022,Tennis,Girls,3A,Madison Warren,Thomas Johnson,"6-2, 6-4"
2022,Tennis,Girls,4A,Helen Sarikulaya,Thomas S. Wooton,"6-2, 6-3"
2023,Tennis,Girls,1A,Julia Jeffrey,Pikesville,"6-1, 6-0"
2023,Tennis,Girls,2A,Gauri Muliyil,Eastern Technical,"7-6[7], 5-2 (retire)"
2023,Tennis,Girls,3A,Lia Melvin,Aberdeen,"2-6, 6-1, 1-0[7]"
2023,Tennis,Girls,4A,Olivia Mellynchuk,Broadneck,"6-3, 6-1"
